weekday,location,task,icons,start_string,end_string,class,start_row,end_row,row
Monday,Moneypalooza,Learn & Play,"('close.png', 'learn.png')","""09:00""","""10:00""",learn_and_play,1,5,2
Monday,Moneypalooza,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""15:00""","""15:45""",spray_and_swap,25,28,3
Monday,Around Town,Learn & Play,"('close.png', 'learn.png')","""10:30""","""11:30""",learn_and_play,7,11,2
Monday,Around Town,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""15:45""","""16:30""",spray_and_swap,28,31,3
Tuesday,Around Town,Learn & Play,"('close.png', 'learn.png')","""09:00""","""10:00""",learn_and_play,1,5,2
Tuesday,Around Town,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""15:00""","""15:45""",spray_and_swap,25,28,3
Tuesday,Moneypalooza,Learn & Play,"('close.png', 'learn.png')","""10:30""","""11:30""",learn_and_play,7,11,2
Tuesday,Moneypalooza,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""15:45""","""16:30""",spray_and_swap,28,31,3
Wednesday,Kid Grid & RPW,Learn & Play,"('close.png', 'learn.png')","""09:00""","""10:00""",learn_and_play,1,5,2
Wednesday,Kid Grid & RPW,Prop Swap Only,"('open.png', 'swap.png')","""10:00""","""10:15""",prop_swap,5,6,3
Wednesday,Kid Grid & RPW,Wipe down,"('open.png', 'wipe.png')","""13:00""","""13:30""",wipe_down,17,19,4
Wednesday,P2P & STEMosphere,Prop Swap Only,"('open.png', 'swap.png')","""09:45""","""10:00""",prop_swap,4,5,3
Wednesday,P2P & STEMosphere,Closed to Public,"('close.png', 'learn.png')","""10:00""","""10:30""",closed_to_public,5,7,2
Wednesday,P2P & STEMosphere,Learn & Play,"('close.png', 'learn.png')","""10:30""","""11:30""",learn_and_play,7,11,2
Wednesday,P2P & STEMosphere,Wipe down,"('open.png', 'wipe.png')","""14:30""","""15:00""",wipe_down,23,25,4
Wednesday,Splash (UW - SS),Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""11:15""","""12:00""",spray_and_swap,10,13,3
Wednesday,Splash (UW - SS),Wipe down,"('open.png', 'wipe.png')","""13:45""","""14:15""",wipe_down,20,22,4
Wednesday,HTT,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""12:00""","""12:45""",spray_and_swap,13,16,3
Wednesday,Around Town,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""12:45""","""13:30""",spray_and_swap,16,19,3
Wednesday,Moneypalooza,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""13:30""","""14:15""",spray_and_swap,19,22,3
Wednesday,Ideaworks & Art Loft,Wipe down,"('open.png', 'wipe.png')","""11:15""","""11:45""",wipe_down,10,12,4
Wednesday,Ideaworks & Art Loft,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""14:15""","""15:00""",spray_and_swap,22,25,3
Wednesday,TH & PZ,Wipe down,"('open.png', 'wipe.png')","""12:15""","""12:45""",wipe_down,14,16,4
Wednesday,TH & PZ,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""15:00""","""15:45""",spray_and_swap,25,28,3
Thursday,HTT,Learn & Play,"('close.png', 'learn.png')","""09:00""","""10:00""",learn_and_play,1,5,2
Thursday,HTT,Prop Swap Only,"('open.png', 'swap.png')","""10:00""","""10:15""",prop_swap,5,6,3
Thursday,HTT,Wipe down,"('open.png', 'wipe.png')","""13:00""","""13:30""",wipe_down,17,19,4
Thursday,Splash (UW - SS),Prop Swap Only,"('open.png', 'swap.png')","""09:45""","""10:00""",prop_swap,4,5,3
Thursday,Splash (UW - SS),Closed to Public,"('close.png', 'learn.png')","""10:00""","""10:30""",closed_to_public,5,7,2
Thursday,Splash (UW - SS),Learn & Play,"('close.png', 'learn.png')","""10:30""","""11:30""",learn_and_play,7,11,2
Thursday,Splash (UW - SS),Wipe down,"('open.png', 'wipe.png')","""14:30""","""15:00""",wipe_down,23,25,4
Thursday,Ideaworks & Art Loft,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""11:15""","""12:00""",spray_and_swap,10,13,3
Thursday,Ideaworks & Art Loft,Wipe down,"('open.png', 'wipe.png')","""13:45""","""14:15""",wipe_down,20,22,4
Thursday,Around Town,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""12:00""","""12:45""",spray_and_swap,13,16,3
Thursday,Moneypalooza,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""12:45""","""13:30""",spray_and_swap,16,19,3
