May 19, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 20, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 21, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 22, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 23, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 25, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 26, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 27, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 28, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 29, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 30, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 01, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 02, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 03, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 04, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 05, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 06, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 08, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 09, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 10, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 11, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
